Supplier,Direction,SOC,TempLabel,TempLow,Value
EVE,Charge,0-10%,T≤0,0.0,0
EVE,Charge,10-20%,T≤0,0.0,0
EVE,Charge,20-30%,T≤0,0.0,0
EVE,Charge,30-40%,T≤0,0.0,0
EVE,Charge,40-50%,T≤0,0.0,0
EVE,Charge,50-60%,T≤0,0.0,0
EVE,Charge,60-70%,T≤0,0.0,0
EVE,Charge,70-80%,T≤0,0.0,0
EVE,Charge,80-90%,T≤0,0.0,0
EVE,Charge,90-95%,T≤0,0.0,0
EVE,Charge,95-100%,T≤0,0.0,0
EVE,Charge,0-10%,0<T≤5,0.0,0.2
EVE,Charge,10-20%,0<T≤5,0.0,0.2
EVE,Charge,20-30%,0<T≤5,0.0,0.2
EVE,Charge,30-40%,0<T≤5,0.0,0.2
EVE,Charge,40-50%,0<T≤5,0.0,0.2
EVE,Charge,50-60%,0<T≤5,0.0,0.2
EVE,Charge,60-70%,0<T≤5,0.0,0.15
EVE,Charge,70-80%,0<T≤5,0.0,0.1
EVE,Charge,80-90%,0<T≤5,0.0,0.1
EVE,Charge,90-95%,0<T≤5,0.0,0.05
EVE,Charge,95-100%,0<T≤5,0.0,0.05
EVE,Charge,0-10%,5<T≤10,5.0,0.3
EVE,Charge,10-20%,5<T≤10,5.0,0.3
EVE,Charge,20-30%,5<T≤10,5.0,0.3
EVE,Charge,30-40%,5<T≤10,5.0,0.3
EVE,Charge,40-50%,5<T≤10,5.0,0.3
EVE,Charge,50-60%,5<T≤10,5.0,0.3
EVE,Charge,60-70%,5<T≤10,5.0,0.3
EVE,Charge,70-80%,5<T≤10,5.0,0.2
EVE,Charge,80-90%,5<T≤10,5.0,0.2
EVE,Charge,90-95%,5<T≤10,5.0,0.15
EVE,Charge,95-100%,5<T≤10,5.0,0.1
EVE,Charge,0-10%,10<T≤15,10.0,0.5
EVE,Charge,10-20%,10<T≤15,10.0,0.5
EVE,Charge,20-30%,10<T≤15,10.0,0.5
EVE,Charge,30-40%,10<T≤15,10.0,0.5
EVE,Charge,40-50%,10<T≤15,10.0,0.5
EVE,Charge,50-60%,10<T≤15,10.0,0.5
EVE,Charge,60-70%,10<T≤15,10.0,0.5
EVE,Charge,70-80%,10<T≤15,10.0,0.3
EVE,Charge,80-90%,10<T≤15,10.0,0.3
EVE,Charge,90-95%,10<T≤15,10.0,0.25
EVE,Charge,95-100%,10<T≤15,10.0,0.2
EVE,Charge,0-10%,15<T≤20,15.0,0.5
EVE,Charge,10-20%,15<T≤20,15.0,0.5
EVE,Charge,20-30%,15<T≤20,15.0,0.5
EVE,Charge,30-40%,15<T≤20,15.0,0.5
EVE,Charge,40-50%,15<T≤20,15.0,0.5
EVE,Charge,50-60%,15<T≤20,15.0,0.5
EVE,Charge,60-70%,15<T≤20,15.0,0.5
EVE,Charge,70-80%,15<T≤20,15.0,0.5
EVE,Charge,80-90%,15<T≤20,15.0,0.5
EVE,Charge,90-95%,15<T≤20,15.0,0.5
EVE,Charge,95-100%,15<T≤20,15.0,0.4
EVE,Charge,0-10%,20<T≤25,20.0,0.5
EVE,Charge,10-20%,20<T≤25,20.0,0.5
EVE,Charge,20-30%,20<T≤25,20.0,0.5
EVE,Charge,30-40%,20<T≤25,20.0,0.5
EVE,Charge,40-50%,20<T≤25,20.0,0.5
EVE,Charge,50-60%,20<T≤25,20.0,0.5
EVE,Charge,60-70%,20<T≤25,20.0,0.5
EVE,Charge,70-80%,20<T≤25,20.0,0.5
EVE,Charge,80-90%,20<T≤25,20.0,0.5
EVE,Charge,90-95%,20<T≤25,20.0,0.5
EVE,Charge,95-100%,20<T≤25,20.0,0.5
EVE,Charge,0-10%,25<T≤30,25.0,0.5
EVE,Charge,10-20%,25<T≤30,25.0,0.5
EVE,Charge,20-30%,25<T≤30,25.0,0.5
EVE,Charge,30-40%,25<T≤30,25.0,0.5
EVE,Charge,40-50%,25<T≤30,25.0,0.5
EVE,Charge,50-60%,25<T≤30,25.0,0.5
EVE,Charge,60-70%,25<T≤30,25.0,0.5
EVE,Charge,70-80%,25<T≤30,25.0,0.5
EVE,Charge,80-90%,25<T≤30,25.0,0.5
EVE,Charge,90-95%,25<T≤30,25.0,0.5
EVE,Charge,95-100%,25<T≤30,25.0,0.5
EVE,Charge,0-10%,30<T≤35,30.0,0.5
EVE,Charge,10-20%,30<T≤35,30.0,0.5
EVE,Charge,20-30%,30<T≤35,30.0,0.5
EVE,Charge,30-40%,30<T≤35,30.0,0.5
EVE,Charge,40-50%,30<T≤35,30.0,0.5
EVE,Charge,50-60%,30<T≤35,30.0,0.5
EVE,Charge,60-70%,30<T≤35,30.0,0.5
EVE,Charge,70-80%,30<T≤35,30.0,0.5
EVE,Charge,80-90%,30<T≤35,30.0,0.5
EVE,Charge,90-95%,30<T≤35,30.0,0.5
EVE,Charge,95-100%,30<T≤35,30.0,0.5
EVE,Charge,0-10%,35<T≤40,35.0,0.5
EVE,Charge,10-20%,35<T≤40,35.0,0.5
EVE,Charge,20-30%,35<T≤40,35.0,0.5
EVE,Charge,30-40%,35<T≤40,35.0,0.5
EVE,Charge,40-50%,35<T≤40,35.0,0.5
EVE,Charge,50-60%,35<T≤40,35.0,0.5
EVE,Charge,60-70%,35<T≤40,35.0,0.5
EVE,Charge,70-80%,35<T≤40,35.0,0.5
EVE,Charge,80-90%,35<T≤40,35.0,0.5
EVE,Charge,90-95%,35<T≤40,35.0,0.5
EVE,Charge,95-100%,35<T≤40,35.0,0.5
EVE,Charge,0-10%,40<T≤45,40.0,0.5
EVE,Charge,10-20%,40<T≤45,40.0,0.5
EVE,Charge,20-30%,40<T≤45,40.0,0.5
EVE,Charge,30-40%,40<T≤45,40.0,0.5
EVE,Charge,40-50%,40<T≤45,40.0,0.5
EVE,Charge,50-60%,40<T≤45,40.0,0.5
EVE,Charge,60-70%,40<T≤45,40.0,0.5
EVE,Charge,70-80%,40<T≤45,40.0,0.5
EVE,Charge,80-90%,40<T≤45,40.0,0.5
EVE,Charge,90-95%,40<T≤45,40.0,0.5
EVE,Charge,95-100%,40<T≤45,40.0,0.5
EVE,Charge,0-10%,45<T≤50,45.0,0.5
EVE,Charge,10-20%,45<T≤50,45.0,0.5
EVE,Charge,20-30%,45<T≤50,45.0,0.5
EVE,Charge,30-40%,45<T≤50,45.0,0.5
EVE,Charge,40-50%,45<T≤50,45.0,0.5
EVE,Charge,50-60%,45<T≤50,45.0,0.5
EVE,Charge,60-70%,45<T≤50,45.0,0.5
EVE,Charge,70-80%,45<T≤50,45.0,0.5
EVE,Charge,80-90%,45<T≤50,45.0,0.5
EVE,Charge,90-95%,45<T≤50,45.0,0.5
EVE,Charge,95-100%,45<T≤50,45.0,0.5
EVE,Charge,0-10%,50<T≤55,50.0,0.5
EVE,Charge,10-20%,50<T≤55,50.0,0.5
EVE,Charge,20-30%,50<T≤55,50.0,0.5
EVE,Charge,30-40%,50<T≤55,50.0,0.5
EVE,Charge,40-50%,50<T≤55,50.0,0.5
EVE,Charge,50-60%,50<T≤55,50.0,0.5
EVE,Charge,60-70%,50<T≤55,50.0,0.5
EVE,Charge,70-80%,50<T≤55,50.0,0.5
EVE,Charge,80-90%,50<T≤55,50.0,0.5
EVE,Charge,90-95%,50<T≤55,50.0,0.5
EVE,Charge,95-100%,50<T≤55,50.0,0.5
EVE,Charge,0-10%,55<T≤60,55.0,0.5
EVE,Charge,10-20%,55<T≤60,55.0,0.5
EVE,Charge,20-30%,55<T≤60,55.0,0.5
EVE,Charge,30-40%,55<T≤60,55.0,0.5
EVE,Charge,40-50%,55<T≤60,55.0,0.5
EVE,Charge,50-60%,55<T≤60,55.0,0.5
EVE,Charge,60-70%,55<T≤60,55.0,0.5
EVE,Charge,70-80%,55<T≤60,55.0,0.5
EVE,Charge,80-90%,55<T≤60,55.0,0.5
EVE,Charge,90-95%,55<T≤60,55.0,0.5
EVE,Charge,95-100%,55<T≤60,55.0,0.5
EVE,Discharge,0-10%,-30≤T<-25,-30.0,0.5
EVE,Discharge,10-20%,-30≤T<-25,-30.0,0.5
EVE,Discharge,20-30%,-30≤T<-25,-30.0,0.5
EVE,Discharge,30-40%,-30≤T<-25,-30.0,0.5
EVE,Discharge,40-50%,-30≤T<-25,-30.0,0.5
EVE,Discharge,50-60%,-30≤T<-25,-30.0,0.5
EVE,Discharge,60-70%,-30≤T<-25,-30.0,0.5
EVE,Discharge,70-80%,-30≤T<-25,-30.0,0.5
EVE,Discharge,80-90%,-30≤T<-25,-30.0,0.5
EVE,Discharge,90-100%,-30≤T<-25,-30.0,0.5
EVE,Discharge,0-10%,-25≤T<-20,-25.0,0.5
EVE,Discharge,10-20%,-25≤T<-20,-25.0,0.5
EVE,Discharge,20-30%,-25≤T<-20,-25.0,0.5
EVE,Discharge,30-40%,-25≤T<-20,-25.0,0.5
EVE,Discharge,40-50%,-25≤T<-20,-25.0,0.5
EVE,Discharge,50-60%,-25≤T<-20,-25.0,0.5
EVE,Discharge,60-70%,-25≤T<-20,-25.0,0.5
EVE,Discharge,70-80%,-25≤T<-20,-25.0,0.5
EVE,Discharge,80-90%,-25≤T<-20,-25.0,0.5
EVE,Discharge,90-100%,-25≤T<-20,-25.0,0.5
EVE,Discharge,0-10%,-20≤T<-15,-20.0,0.5
EVE,Discharge,10-20%,-20≤T<-15,-20.0,0.5
EVE,Discharge,20-30%,-20≤T<-15,-20.0,0.5
EVE,Discharge,30-40%,-20≤T<-15,-20.0,0.5
EVE,Discharge,40-50%,-20≤T<-15,-20.0,0.5
EVE,Discharge,50-60%,-20≤T<-15,-20.0,0.5
EVE,Discharge,60-70%,-20≤T<-15,-20.0,0.5
EVE,Discharge,70-80%,-20≤T<-15,-20.0,0.5
EVE,Discharge,80-90%,-20≤T<-15,-20.0,0.5
EVE,Discharge,90-100%,-20≤T<-15,-20.0,0.5
EVE,Discharge,0-10%,-15≤T<-10,-15.0,0.5
